standardized_smiles,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37,odor_38,odor_39,odor_40,odor_41,odor_42,odor_43,odor_44,odor_45,odor_46,odor_47,odor_48,odor_49,odor_50,odor_51,odor_52,odor_53,odor_54,odor_55,odor_56,odor_57,odor_58,odor_59,odor_60,odor_61,odor_62,odor_63
CC(=O)OCC(COC(C)=O)OC(C)=O,Clean,Creamy,Fruity,Tropical,Fruity,Mild,Acid,Acid,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC(O)COC(C)=O,Alcohol,Ether,Alcohol,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC(OC(C)=O)c1ccccc1,Balsamic,Honey,Gardenia,Muguet,Hyacinth,Vetiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1=CCC23CC1C(C)(C)C2CCC3C,Woody,Dry,Cedar,Woody,Sharp,Sharp,Peanut,Sharp,Sharp,Waxy,Cedar,Vetiver,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1=CCC2CC1C2(C)C,Herbal,Woody,Cedar,Floral,Floral,Herbal,Sweet,Citrus,Fruity,Green,Fresh,Citrus,Woody,Green,Herbal,Citrus,Cool,Cool,Floral,Fruity,Fruity,Sweet,Herbal,Cedar,Woody,Herbal,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1CC(C)=CC(C)C1,Grapefruit,Floral,Gardenia,Floral,Citrus,Green,Citrus,Grapefruit,Green,Citrus,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1CCC(C)CC1C,Woody,Grapefruit,Floral,Floral,Sweet,Grapefruit,Woody,Floral,Sweet,Carvone,Cortex,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1CCC2C3CCC(C3)C12,Woody,Floral,Floral,Fruity,Woody,Amber,Floral,Fruity,Amber,Fruity,Sandalwood,Sandalwood,Woody,Sandalwood,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1CCC=C(CCC=C(C)C)C1,Floral,Freesia,Lily,Magnolia,Floral,Sweet,Citrus,Green,Fresh,Citrus,Green,Citrus,Floral,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC1CCCO1,Rummy,Brown,Caramel,Honey,Ether,Sweet,Fruity,Fruity,Maple,Caramel,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC=C(C)C,Lavender,Balsamic,Floral,Heliotrope,Jasmine,Floral,Sweet,Fruity,Green,Fresh,Apple,Banana,Ripe,Green,Floral,Fruity,Banana,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC=C(C)CCC=C(C)C,Herbal,Lavender,Chocolate,Honey,Chocolate,Grapefruit,Lemon,Orange,Limonene,Apricot,Floral,Floral,Rose,Rose,Floral,Floral,Herbal,Orange,Rose,Rose,Sweet,Sweet,Citrus,Fruity,Fruity,Green,Green,Apple,Apricot,Citrus,Grape,Grapefruit,Lemon,Peach,Pear,Raspberry,Tropical,Green,Green,Herbal,Citrus,Cool,Lemon,Cool,Blossom,Floral,Floral,Fruity,Fruity,Oily,Chocolate,Fruity,Fruity,Lemon,Sweet,Sweet,Lemon,Lemon,Herbal,Waxy,Waxy,Herbal,
CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C,Floral,Floral,Rose,Rose,Floral,Floral,Rose,Rose,Green,Green,Melon,Green,Green,Floral,Floral,Oily,Waxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C,Balsamic,Fruity,Fruity,Mild,Fruity,Waxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCC=Cc1ccccc1,Balsamic,Balsamic,Estery,Floral,Floral,Rose,Spices,Spices,Floral,Floral,Rose,Sweet,Floral,Floral,Powdery,Cinnamyl,Spices,Spices,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC(C)(C)S,Sulphurous,Sweet,Fruity,Green,Tropical,Green,Sulphurous,Fruity,Sulphurous,Sulphurous,Sulphurous,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC(C)C,Solvent,Sweet Solvent,Estery,Sweet,Fruity,Banana,Pear,Ripe,Solvent,Fruity,Banana,Solvent,Fruity,Sweet,Sweet Solvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC(C)CC(C)(C)C,Woody,Spices,Sweet,Fruity,Woody,Fruity,Orris,Cumin,Spices,Fruity,Sweet,Cucumber,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC(C)CCC=C(C)C,Dusty,Woody,Aldehydic,Bergamot,Lemon,Limonene,Dusty,Bois de rose,Floral,Floral,Rose,Rose,Floral,Floral,Rose,Rose,Sweet,Citrus,Citrus,Fruity,Fruity,Green,Fresh,Apple,Citrus,Citrus,Lemon,Pear,Tropical,Woody,Green,Citrus,Citrus,Lemon,Floral,Floral,Fruity,Fruity,Fruity,Fruity,Lemon,Sweet,Lemon,Lemon,Dirt,Waxy,Woody,Woody,,,,,,,,,,,,,,,
CC(=O)OCCC(C)CCCC(C)C,Honey,Clean,Rose,Rose,Sweet,Fruity,Fresh,Fruity,Fruity,Sweet,Waxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC(C)S,Nutty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC1=CCC2CC1C2(C)C,Herbal,Lavender,Woody,Bergamot,Herbal,Woody,Herbal,Chemical,Pine,Pine,Herbal,Pine,Pine,Woody,Herbal,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC1CC=C(C)C1(C)C,Herbal,Lavender,Woody,Woody,Floral,Floral,Violet,Floral,Floral,Herbal,Sweet,Sweet,Violet,Fresh,Berry,Woody,Woody,Herbal,Floral,Floral,Sweet,Sweet,Herbal,Woody,Woody,Herbal,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCC1CCCCC1,Plastic,Floral,Rose,Floral,Rose,Green,Raspberry,Plastic,Green,Floral,Plastic,Plastic,Minty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCCC1CCCCC1,Ether,Floral,Floral,Fruity,Floral,Fruity,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCCCC(C)C,Sweet,Minty,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCCCCC(C)C,Estery,Sweet,Fruity,Fruity,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCCCCCC(C)C,Herbal,Woody,Floral,Violet,Floral,Herbal,Sweet,Violet,Fruity,Woody,Herbal,Floral,Fruity,Cumin,Fruity,Sweet,Herbal,Woody,Herbal,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCCCCCCC(C)C,Herbal,Clean,Herbal,Citrus,Green,Fresh,Citrus,Green,Herbal,Citrus,Powdery,Cumin,Herbal,Herbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCCc1ccccc1,Balsamic,Honey,Floral,Spices,Floral,Sweet,Fruity,Hay,Hay,Floral,Fruity,Storax,Cinnamyl,Spices,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCOC(C)=O,Alcohol,Estery,Floral,Floral,Green,Green,Alcohol,Floral,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCOc1ccc(C)cc1,Balsamic,Floral,Gardenia,Jasmine,Floral,Fruity,Floral,Fruity,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)OCCOc1ccccc1,Floral,Floral,Sweet,Floral,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
