standardized_smiles,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37,odor_38,odor_39,odor_40,odor_41,odor_42,odor_43,odor_44,odor_45,odor_46,odor_47,odor_48,odor_49,odor_50,odor_51,odor_52,odor_53,odor_54,odor_55,odor_56,odor_57,odor_58,odor_59,odor_60,odor_61,odor_62,odor_63
C=C(C)C1CCC(C)C(=O)C1,Aromatic,Aromatic,Aromatic,Aromatic,Bakery,Building materials &,Fragrant,Fragrant,Fragrant,Fragrant,Grassy/ Woody,Grassy/ Woody,Herbaceous,Herbaceous,Herbaceous,Herbaceous,Herbaceous,Lemon,Minty,Minty,Minty,Minty,Minty,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Terpenes/ Pine/ Lem,Vegetation,Vegetation,Vegetation,Vegetation,Woody,Woody/ Resinous,Woody/ Resinous,Woody/ Resinous,Woody/ Resinous,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(O)C1,Aromatic,Building materials &,Food,Food,Fragrant,Fragrant,Fresh,Grassy/ Woody,Herbaceous,Lemon,Minty,Minty,Minty,Minty,Spices,Spices,Sweet,Sweet,Terpenes/ Pine/ Lem,Vegetation,Woody,Woody/ Resinous,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(OC(C)=O)C1,Chemical/ Hydrocar,Chemical/ Hydrocar,Floral,Floral,Food,Fragrant,Fragrant,Fragrant,Fragrant/ Fruity,Fragrant/ Fruity,Green,Medicinal/ Alcohol,Medicinal/ Phenolic,Minty,Minty,Nature,Nature,Spices,Sweet,Sweet,Sweet,Sweet,Sweet,Terpenes/ Pine/ Lem,Vegetables,Vegetables,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C1C=O,Aromatic,Fragrant,Herbaceous,Minty,Sweet,Vegetation,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,Balsamic,Building materials &,Grassy/ Woody,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2=O,Building materials &,Grassy/ Woody,Spices,Vegetation,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1=O,Aromatic,Fragrant,Fresh,Herbaceous,Minty,Sweet,Vegetation,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1O,Aromatic,Aromatic,Building materials &,Building materials &,Chemical/ Hydrocar,Chemical/ Hydrocar,Fragrant,Fragrant,Fragrant/ Fruity,Grassy/ Woody,Grassy/ Woody,Grassy/ Woody,Grassy/ Woody,Green,Herbaceous,Herbaceous,Lemon,Lemon,Medicinal/ Alcohol,Medicinal/ Alcohol,Medicinal/ Phenolic,Medicinal/ Phenolic,Minty,Minty,Minty,Minty,Sweet,Sweet,Terpenes/ Pine/ Lem,Vegetation,Vegetation,Woody,Woody,Woody/ Resinous,Woody/ Resinous,Woody/ Resinous,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1OC(C)=O,Building materials &,Chemical/ Hydrocar,Chemical/ Hydrocar,Fragrant,Fruity,Fruity,Grassy/ Woody,Lemon,Medicinal/ Alcohol,Medicinal/ Phenolic,Minty,Minty,Minty,Minty,Minty,Sweet,Sweet,Sweet,Vegetation,Vegetation,Woody,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1OC=O,Floral,Fragrant,Fragrant/ Fruity,Green,Nature,Sweet,Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C=O)CC1,Aromatic,Food,Fragrant,Fragrant/ Fruity,Herbaceous,Nature,Spices,Sweet,Vegetation,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)CCC=C(C)C2C1,Mossy woods,Soft oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)CCCC(=C)C2C1,Aromatic,Fragrant,Herbaceous,Vegetation,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)OC2C1,Aromatic,Aromatic,Clean,Clean,Fragrant,Fragrant,Fragrant/ Fruity,Fragrant/ Fruity,Fragrant/ Fruity,Fragrant/ Fruity,Fragrant/ Fruity,Fragrant/ Fruity,Fresh,Fresh,Fresh,Fruity,Fruity,Fruity,Green,Green,Herbaceous,Herbaceous,Lemon,Lemon,Lemon,Minty,Minty,Nature,Sweet,Sweet,Sweet,Vegetation,Vegetation,Woody/ Resinous,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,Building materials &,Building materials &,Citrus,Citrus,Citrus,Citrus,Floral,Floral,Fragrant,Fragrant,Fragrant,Fragrant,Fragrant/ Fruity,Fragrant/ Fruity,Fruity,Fruity,Fruity,Fruity,Grassy/ Woody,Grassy/ Woody,Lemon,Lemon,Sweet,Sweet,Terpenes/ Pine/ Lem,Woody,Woody,Woody/ Resinous,Woody/ Resinous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
